Codi;PORIND
0801908198;185
0801908200;159
0801908202;161
0801908203;202
0801908205;197
0801908207;68
0801908208;135
0801908209;249
0801908211;93
0801908213;176
0801908214;203
0801909002;171
0801909003;170
0801909004;123
0801909005;127
0801909006;133
0801909007;129
0801909009;55
0801909010;50
0801909011;67
0801909012;34
0801909013;76
0801909014;70
0801909015;100
0801909017;78
0801909018;52
0801909019;82
0801909020;49
0801909021;62
0801909022;51
0801909023;132
0801909025;97
0801909026;197
0801909027;116
0801909028;57
0801909030;258
0801909031;99
0801909032;107
0801909033;90
0801909035;82
0801909036;51
0801909037;151
0801909039;279
0801909040;136
0801909041;58
0801909042;82
0801909043;48
0801909044;199
0801909045;140
0801909046;127
0801909047;162
0801909048;113
0801909049;48
0801909051;114
0801909052;64
0801909054;46
0801909055;91
0801909057;62
0801909059;75
0801909060;76
0801909062;48
0801909063;48
0801909064;67
0801909066;54
0801909067;70
0801909069;85
0801909071;40
0801909072;64
0801909073;76
0801909074;53
0801909075;102
0801909077;92
0801909079;89
0801909080;142
0801909082;80
0801909084;107
0801909086;193
0801909087;74
0801909088;62
0801909089;89
0801909090;63
0801909091;126
0801909092;63
0801909094;64
0801909095;64
0801909096;51
0801909097;63
0801909098;149
0801909100;214
0801909102;162
0801909103;338
0801909104;84
0801909105;32
0801909106;101
0801909107;98
0801909108;126
0801909109;120
0801909110;197
0801909111;75
0801909112;106
0801909113;160
0801909114;104
0801909115;99
0801909116;116
0801909118;140
0801909119;89
0801909120;142
0801909121;89
0801909123;60
0801909124;50
0801909125;87
0801909126;125
0801909128;133
0801909129;92
0801909130;164
0801909132;155
0801909133;84
0801909134;127
0801909136;194
0801909137;107
0801909139;79
0801909140;137
0801909142;118
0801909144;172
0801909145;175
0801909146;121
0801909147;234
0801909148;113
0801909149;125
0801909150;211
0801909151;167
0801909154;133
0801910001;90
0801910002;89
0801910003;54
0801910004;81
0801910005;105
0801910006;100
0801910008;71
0801910009;69
0801910010;106
0801910011;85
0801910014;64
0801910018;105
0801910020;69
0801910021;174
0801910022;134
0801910023;79
0801910025;78
0801910026;130
0801910028;120
0801910030;48
0801910031;67
0801910034;45
0801910035;68
0801910036;66
0801910037;74
0801910038;48
0801910039;50
0801910040;188
0801910041;124
0801910043;194
0801910045;112
0801910046;153
0801910047;84
0801910048;87
0801910049;118
0801910050;69
0801910051;154
0801910054;57
0801910056;94
0801910057;215
0801910058;88
0801910059;89
0801910060;250
0801910062;160
0801910065;321
0801910066;198
0801910068;155
0801910069;88
0801910070;78
0801910071;160
0801910072;101
0801910073;225
0801910075;60
0801910076;48
0801910077;110
0801910078;59
0801910079;150
0801910082;124
0801910083;96
0801910085;101
0801910086;60
0801910087;52
0801910088;82
0801910089;67
0801910090;92
0801910092;50
0801910093;230
0801910094;51
0801910096;185
0801910098;295
0801910099;223
0801910100;53
0801910101;384
0801910102;135
0801910103;186
0801910104;78
0801910105;146
0801910106;118
0801910107;81
0801910108;68
0801910109;65
0801910110;68
0801910111;69
0801910113;112
0801910115;102
0801910116;86
0801910117;55
0801910118;94
0801910120;72
0801910121;68
0801910122;62
0801910123;113
0801910125;42
0801910126;38
0801910127;79
0801910129;52
0801910130;77
0801910132;30
